# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

"survival is menaced by the demand for turtle soup,",
which would hardly justify the extermination of a giant,
reptile whose family has existed for 200 million years.,
Leopards are in jeopardy because of the fashion for,
"their skins. As they get rarer, the prices rise and, as",
"leopard skin coats become more expensive, the",
demand increases. No species can long survive the,
"price of 360,000 which a half-grown baby leopard now",
"carries on its skin. And crocodile, the longest surviving",
"reptiles, are now dwindling alarmingly as a result of",
the fashion in crocodile skin for ladies' handbags and,
"men's shoes,",
The human population explosion spreads,
mankind across the land surfaces of the earth at an,
alarining rate. There will be twice as many of us before,
most of us are dead. Does this mean no room for wild,
animals? Of course not. With ingenuity and,
"forethought, a place can be kept for them. To destroy",
their habitat is as it would be to pull down a great,
cathedral in order to grow potatoes on the site. A,
campaign to save what remains is the concern of a,
new kind of Noah's Ark – the World Wildlife Fund. It,
does not believe that all is lost.,
Adapted from Peter Scott's article in Sunday Times,
1. The basic causes of the elimination of certain animals from the earth include.,
A. man's decision to live in cities and the development of large farmlands,
B. extensive killing of animals and the fast disappearance of their favourable habitats,
C. man's penchant for meat and the sale of animals for meat and hides,
D. a deliberate battle against Nature and the quest for leopard skin,
"2.From the passage, the attitude of the writer can",
be described as,
A. partial,
B. optimistic,
C. indifferent,
D. pessimistic,www.myschoolgist.com
3. The expression when man evolved a conscience,
means when,
А. man developed an awareness of right and,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

wrong,
B. man's intellect improved tremendously,
C. man acquired new habits,
D. man became a critical creature,
4. Which of the following statements is true,
according to the passage?,
A. Man kills animals only when he can afford to,
B. Man cannot spare those animals that eat his,
kind.,
C. Man eats all categories of animals,
D. Man poses the greatest threat to Nature,
5. The sentence There will be twice many of us before,
most of us are dead means,
А. some increase in human and animal,
population growth rates.,
B. mankind is last spreading across the earth.,
C. many of us will die as a result of population,
explosion,
D. the population growth rate will double before,
our death,
PASSAGE II,
"The 2002 World Cup Competition, also called Korea)",
"Japan 2002, kicked off with a match between the",
"defending champions, France, and the Senegalese",
national team from Africa. Nobody had given the,
Senegalese any chance against the the star-studded,
defending champions but the 1-0 score line in favour,
of Senegal showed that African football can no longer,
be taken for granted.,
This shocking defeat of France had raised Africa's,
hopes of going beyond the first of the tournament. So,
when the Super Eagles of Nigeria filed out against,
"Argentina on the morning of Sunday, June the second,",
"2002, many Nigerian football enthusiasts delayed",
attending church service to watch the match live on the,
"television. As expected, the Super Eagles put up strong",
resistance to the Argentinian challenge and the day,www.myschoolgist.com
would not have ended on a somber note for Nigerians,
if the momentum had been sustained throughout the,
match.,
"The hope of going beyond the first round, though",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"precarious, was very much alive as the Eagles were",
"expected to defeat their next opponents, Sweden and",
England. But some shortcomings in the Nigerian,
national team needed to be rectified to brighten their,
chances against their next opponents,
"First, the defence needed to be strengthened to",
prevent the opponents from incessantly terrorizing the,
goalkeeper. Then the strikers also needed to improve,
"on their lacklustre performance against Argentina,",
since every Nigerian expected them to overwhelm their,
"next opponents in the opening rounds. Lastly, rather",
"than gamble with unfit players, a more creative use of",
the reserves would be necessary to smooth the way to,
the next round.,
"If World Cup debutants, Senegal, could nurse the",
hope of playing in the knock-out stages of the,
"tournament, then the Eagles should soar instead of",
"being intimidated by big names, for no team is",
invincible.,
6. Which of the following captures the writer's,
suggestion on how the Eagles could improve their,
performance in subsequent matches?,
"A. Better goalkeeping, a better attack and a",
stronger midfield,
"B. Replacement of injured players, stronger",
attackers and a rugged defence,
"C. Good coaching, more strikers and more",
defenders,
"D. Fair officiating, good goalkeeping and fast",
players,
7. A suitable title for this passage is,
A. African Teams in the 2002 World Cup,
B. The FIFA Korea/Japan 2002,
C. The Nigerian and the Senegalese Teams,
D. The Eagles in World Cup 2002,
"8. From the argument in the last paragraph, it can",
be concluded that the Eagles were,www.myschoolgist.com
A. more experience than the Senegalese team,
B. not as strong as the Senegalese team,
C. more timid and goal-shy than their opponents,
D. not sure of getting to the next round of the,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

tournament,
"9.The word debutants, as used in the passage,",
means,
A. hard-fingers5432B.,
B. under-dogs,
C. first-timers,
D. giant killers,
"10. From the passage, it can be concluded that the",
writer,
A. was optimistic about the chances of the,
Eagles,
B. did not fancy the Eagles' chances,
C. was non-committal about the chances of the,
Eagles,
D. was certain about the Eagles' chances,
PASSAGE III,
Attitudes towards the smoking of cigarettes and the,
consumption of alcohol may be used to illustrate typical,
African ethics. Apart from the fact that smoking has,
"now been linked with the lung cancer disease, the",
African moralist has always regarded smoking as an,
indication of moral degradation. A number of people,
have accepted the moralist idea on smoking. Some,
"have refrained from smoking, and those who could",
"influence others, such as parents and religious",
"leaders, have also exerted their influence to prevent",
"others from smoking. On the other hand, a good many",
people have remained indifferent to the moralist view,
and have continued to smoke. The same argument,
has been applied to the consumption of alcohol. The,
"African moralist, basing his judgement on the",
"behaviour of a few alcoholics, tends to regard the habit",
of taking alcohol as a sign of wretchedness. The,
moralist holds the view that anybody who forms the,
habit of consuming alcohol will never do well in life.,
While this may be true in respect of a few people in the,
"society, the fear of the moralist has been justified.",www.myschoolgist.com
"However, the economist is primarily interested in the",
habit of smoking and the consumption of alcohol in so,
far as they give satisfaction to smokers and drinkers,
and so generate supply of and demand for tobacco,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

and alcohol. The economist is interested in knowing,
how many packets of cigarettes are consumed and to,
what extent an increase or fall in consumption could,
"affect production, that is, supply. Similarly, he is resources to cover the wants.",
interested in how much beer is consumed and how,
the supply of beer will adjust to the demand for it. He,
examines the habits and the pressures which can lead,
to the re-adjustment of wants and the reallocation,
Some moral principles associated with religion,
certain religions are expected not to consume pork,
tend to lead on to economic problems. Followers,
take alcohol or smoke tobacco. Devotees of some,
"religious groups, on the other hand, can eat pork while",
others are expected to abstain from alcohol and,
smoking. Strict observance of these moral rules could,
"cripple the breweries, the cigarette factories and some",
"businesses. However, there seems to be a growing",
number of alcohol consumers and cigarette smokers,
- a development which should be of interest to the,
Economist,
11. The position maintained by the moralist and the,
economist can be described as being,
A. at variance B. very agreeable,
C. quite indifferent D. very passionate,
12. Which of the following statements is true,
according to the passage?,
A. People who drink or smoke surely die of,
cancer,
B. Everyone ignores the moralist view on,
drinking and smoking,
C. Smoking and drinking may have positive,
effects on the economy,
D. Total abstinence from drinking and smoking,
is a religious,
13. It can be concluded from the passage that,
"morality, religion and economy are",
A. clearly interconnected,www.myschoolgist.com
B. certainly different,
C. somewhat interconnected,
D. certainly unrelated,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

14. The view expressed by writer in the last paragraph,
is that,
A. the number of alcoholics and smokers is,
certainly increasing,
B. more people now abstain from drinking and,
smoking,
C. more people appear to take to drinking and,
smoking,
D. sales of alcohol and tobacco products have,
improved tremendously,
"15. According to the passage, the moralist idea is that",
A it is typically African not to smoke cigarettes,
B. people should accept a point of view only,
when they are convicted,
C. smoking is not good but a little alcohol may,
be permitted,
D. the smoking of cigarettes is bad and,
unacceptable,
PASSAGE IV,
The passage below has gaps numbered 16 to 25.,
"Immediately following each gap, four options are",
provided. Choose the most appropriate option for each,
gap. Each question carries 2 marks.,
"A prepared speech is not easy to deliver, especially if it",
is not written by the presenter. A ...16... (A. document,
B. free C. manuscript D. quantum) delivery is one which the speech has been written out word for word,
and is read to ...17... (A. a gathering B. a conference,
c. a congregation D. an audience). This kind of,
delivery is usually reserved for very ...18... (A. formal B.,
genuine C. impromptu D. guaranteed) occasions,
when exact wording is ...19... (A. conclusive B. critical,
"C. reportive D. speculative), such as the State of the",
Union Address or speeches before United Nations,
General ...20... (A. Negotiation B. Organization C.,
Assembly D. Audience). The primary advantage is,
that the speech may be highly ...21... (A. polished B.,
advanced C. analogues D. discreet) in terms of word,www.myschoolgist.com
"choice, turns of phrase, and development of ideas.",
The main disadvantage is that this type of delivery is,
difficult to do well. Reading aloud with meaningful,
....22... (A. anticipatory B. profuse C. bifocal D. vocal),
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

inflection requires the speaker to be very familiar with,
"the text. If not, the words will come out in a choppy,",
expressionless way. Such poor delivery could destroy,
any ...23... (A. interactive B. restrictive C. positive D.,
decisive) effects created by the carefully chosen ...24...,
(A. language B. slang C. dialect D. rhetoric). Lack of,
familiarity with the ...25... (A. exchange B. text C. note,
D. context) could also prevent speaker from,
maintaining eye contact with the people being,
addressed.,
"Adapted from Philips, G. M.et al (1985),",
"Speaking in Public and Private,",
Indianapolis: Bobbs - Merril,
"LEXIS, STRUCTURE AND ORAL FORMS",
"In each of questions 26 to 30, select the option that best explains the information conveyed in the",
sentence. Each question carries 2 marks,
26. In spite of his humble beginning. Audu now throws,
his weight around.,
A. Audu is arrogant despite his simple,
upbringing,
"B. Despite his obvious poverty, Audu is a proud",
man.,
"C. His noble birth notwithstanding, Audu is a",
proud man,
"D. From his poor background, Audu is now a",
rich man,
27. Ngozi has always considered her father to be an,
impassioned man,
A. Her father is a very lively man,
B. Her father is an emotional man,
C. Her father is a disciplined man,
D. Her father is a very strict man,
28. The elders rebuked Olu for taking issue with his,
principal,
A. Olu was cautioned for shouting at his principal,www.myschoolgist.com
B. Olu was scolded for acting in collusion with,
his principal,
C. Olu was reprimanded for arguing with his,
principal,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. Olu was blamed for issuing a statement,
denying his principal,
29. The manager paid us in hard currency,
A We were paid in new notes,
B. We were paid in foreign currency,
C. We were paid in dollars and pound sterling,
D. We were paid in a strong and stable currency,
"30. If he went to London, he would see the Queen",
"A. When he goes to London, he will see the Queen",
B. He did not go to London and did not see the,
Queen,
C. He did not see the Queen when he went to,
London,
D. He would like to see the Queen when he goes,
to London,
(Questions 31 to 100 carry 1 mark each),
"In each of questions 31 to 45, choose the option opposite in meaning to the word(s) or",
phrase in italics,
31. Only those who are gullible fall victim to his trickery,
А. Saucy,
B. devastated,
C. courteous,
D. astute,
32. He is well known for his inordinate ambition,
A. excessive,
C. moderate,
B. passionate,
D. sound,
33. Students could be timid,
A. friendly,
B. bold,
C. covetous,
D. pugnacious00,
www.myschoolgist.com,
34. The witness decided to conceal the evidence,
A divulge,
C. destroy,
B. hide,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. waive,
35. The members of the congregation were inspired,
by the sermon,
A. bewitched,
B. enthralled,
C. disenchanted,
D. disorientated,
36. Agbenu was ecstatic about her result,
A. dispassionate,
C. pessimistic,
B. sad,
D. mad,
37. The labour leader's recalcitrant stance was applauded,
A. stubborn,
C. uncompromising,
B. flexible,
D. well-informed,
38. A cool bath in a hot weather can be truly,
invigorating,
A. devastating,
C. debilitating,
B. unpalatable,
D. disgusting,
39. I am loath to do the assignment,
A. willing,
C. waiting,
B. unwilling,
D. dying,
"40. Toyin is married to an impatient, self-centered man",
A a fretful,
C. an edgy,
B. a tolerant,
D. a tolerable,
www.myschoolgist.com,
41. Gregarious animals can be found in the zoo.,
А. various,
C. lonely,
B. Wild,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. Tame,
42. The doctor examine the patient painstakingly.,
A perfunctorily,
C. painfully,
B. professionally,
D. carefully,
43. The company has continued to monopolize the,
distribution of the products.,
A centralize,
B. liberalize,
C. specialize,
D. regularize.,
44. A conservative estimate put the number of missing persons at forty,
A. rough,
C. A primitive,
B. An accurate,
D. An incorrect,
45. The agency has sworn to deal with all apostles of confederation.,
A. proponents,
C. apostates,
B. protagonists D. opponents,
"In each of questions 46 to 60, choose the option nearest in meaning to the word(s) or phrase in italics",
46. The leader has the unstinting support of his party.,
A. unsparing,
C. uninspiring,
B. laudable,
D. cautious,
47. The party supporters vilified the Chairman for the,
role he played in the crisis that rocked the party.,
A. elected,
B. challenged,
C. condemned,
D. impeached,
www.myschoolgist.com,
48. The company is to shed three thousand staff this,
year.,
A. demote,
C. throw up,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

B. lay off,
D. placate,
49. There was a glut of oil on the market,
A. a variety of,
B. an accumulation,
C. an abundance of,
D. an increase in,
"50. A few years ago, nobody would have believed that",
the economy would turn around.,
A deteriorate,
C. stagnate,
B. improve,
D. change,
"51. Before announcing his retirement, Ochima",
resolved to settle an account with the bank.,
A. pay back all he owes,
B. close his account with,
C. retire his loans from D. get back at,
52. The boys knew that a storm was imminent.,
A possible,
C. threatening,
B. impending,
D. encroaching,
53. The nurse was in favour at voluntary euthanasia.,
A. a painless death C. a sleeping pill,
B. a simple operation D. a major operation,
54. The cynics feared that the nation's nascent democracy would fail.,
A. pessimists,
C. critics,
B. delinquents,
D. illusionists,
55. The essence of governance is to seek the good,
and well-being of the majority of the people.,www.myschoolgist.com
A. importance,
C. characteristic,
B. goal,
D. secret,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"56. From what she said, one may infer that she does",
not like the course.,
A. suppose,
C. deduce,
B. realize,
D. agree,
57. He shared his room with a person whose,
behaviour was quite nauseating.,
A disrespectful,
C. discouraging,
B. disgrateful,
D. disgusting,
58. The carpenter built a commodious wardrobe,
A gigantic,
C. spacious,
B. small,
D. wide,
59. Publishing as a business venture has become a,
hot potato in Nigeria.,
A. unpleasant,
B. profitable,
Ç. unacceptable,
D. expensive,
60. The man's story sounded plausible to his,
audience,
A. fantastic,
C. credible,
B. credulous,
D. entertaining,
"In each of questions 61 to 85, fill each gap with most",
appropriate option from the list provided,
"61. I can't stand people prying into my private life,",
Ladi said.... [A. Me neither B. Me too C. I also,www.myschoolgist.com
D. Likewise myself) agreed Agbenu.,
62. The sergeant spoke to me in a ... (A. coerce B,
coarse C. course D. causaſ manner.,
63. The reason why he was not offered admission,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

was.. [A. because B. that C. when D. owing to,
his result could not be found,
64. Adika ... (A. receive B. receives C. has received,
D. had received a message from the Club,
regularly,
65. Three quarters of the people in the village ... (A.,
were/was B. were/were C. was/were D. was,
was) affected.,
66. If you saw the photograph of the man ... [A. can,
B. will C. would D. could you be able to identify,
him,
67. It is bad to take (A. someone's else's,
B. someone's else C. someone's else,
D. someone else) property without permission.,
"68. As Obande does not know anyone in this city, he",
hopes that some kind ... (A. men B. individuals,
C. man D. inhabitants) will put him up for the,
night,
69. Be careful not to ... [A. lose B. loose C. loss,
D. lost this money.,
70. How is the new editor ... [A. pushing B. going,
C. getting D. moving) on with his work?,
"71. Nowadays, many graduates are not well disposed",
to teaching ... (A. do they? B. they are? C. aren't,
they? D. are they?],
72. The armed robbers went the into house and,
robbed the three ... (A. women's occupants B.,
women occupants C. woman occupants D.,
I woman's occupants),
• 73. It is often ... that inflation [A. say/resulted B,
said/result C. said/results D. say/result] from,
too much money chasing very few goods,
"74. If you would do me this favour, 1... (A. will B. shall",
C. would D. should be very grateful.,
75. I have the ... [A privilege B. privilege C. privilege,
D. privilege) of meeting the President.,
76. My classmate ... [A. that B. whose C. whom D.,
"which) I haven't seen for year, wrote to me last",
week.,
77. Four weeks... [A. has been B. are C. were D. is,www.myschoolgist.com
enough for the police to conclude their,
investigation,
78. The woman is one of the ... (A. elitists B. elites,
C. elite D. elitist of the society,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

79. The doctor asked the patient what ... (A. is the,
problem B. the problem was C. the problem is,
D. is your problem),
80. He put... (A. a white dozen eggs B. dozen white,
eggs C. a dozen white eggs D. white dozen,
eggs) in a basket.,
81. Idakwo ran ... (A. lest he almost B. Jest he will C. Jest he should D. lest he may] miss the rain,
82. Course (A. material B. materials C material's,
D. materials writers are to reflect local colour.,
83. It was a free-for-all and the students were blamed,
for taking the law... (A. into their hands B. in their,
hands C. into their own hands D. in their own,
hands),
84. Ali plays... [A. their B. some C. a D. the) violin,
with remarkable skill.,
85. The candidate's charisma should be a,
(A. determinable B. determining C. determinant,
D. determinatej factor in winning the election,
"In each of questions 86 to 88, choose the option that",
has the same vowel as the one represented by the letter(s) underlined,
86. colonel,
A goal B. colony C. golden D. girl,
87. tend,
A jeopardy B. turned C. earned D. caned,
88. market,
A. get B. mortgage C. enter D. bachelor,
"In each of questions 89 to 91, choose the option that",
has different vowel sound from the letters,
89. A. dear B. fair,
C. bear D. there,
90. A. hope B. cost,
C. coast D. won't,
91. A naught B. north C. spot D. law,
www.myschoolgist.com,
"In each of questions 92 to 94, choose the option that",
has the same consonant sound as the one,
represented by the letter(s) underlined,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

92. concrete,
А. attend B. anxious C. concern D. consider,
93. chalet,
A. college B. chemical,
C chairman D. champagne,
94. teeth,
A. though B taught,
C. thought D. tank,
"In each of questions 95 and 96, choose the option that has a different consonant sound from the others",
95 A. shoe B. ocean C. chef D. chief,
96 A. laugh B. off C. wife D. of,
"In each of questions 97 and 98, choose the option",
at has the same stress pattern as the given word,
97. Cement,
A. empty (noun),
B. interest,
C. perfect (adjective),
D. include,
98. typist,
A. rebel (noun,
B. superb,
C. refuse (noun,
D. propose,
"In each of questions 99 and 100, the word in capital letters has the emphatic stress. Choose the option to",
which the sentence relates,
99. My MOTHER served rice and fresh fish stew for dinner.,
A. What kind of meal did your mother serve,
for dinner.,
B. Did your mother serve rice and fresh fish stew,
for lunch?,www.myschoolgist.com
C. What kind of stew did your mother serve for,
dinner?,
D. Who served rice and fresh fish stew for,
dinner?,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

100.The President SPOKE to the press.,
A. Who spoke to the press?,
B. Are these the pressmen that the President,
spoke to?,
C. Did the President speak to the press?,
D. Did the President write to the press?,
USE OF ENGLISH 2004,
Read the passage I and II carefully and answer the questions that follows,
PASSAGE I,
"We knew early in our life that the atmosphere in our home was different from that in many other homes,",
"where husbands and wives quarrel and where was drunkenness, laziness or indifference – things we never",
saw in our family. We chafed and grumbled at the strictness of my father’s regime. We went to hide whenever,
"we broke the rules too visibly. We knew, nevertheless, that our parents wanted good things for us. Some of",
"these, such as the insistence on our going to school and never missing a day, we accepted readily enough,",
"although, like most other children, we occasionally yielded to the temptation to play truant. However, in other",
cases such as their effort to keep us out of contact with the difficult life- the drinking and fighting and beer-,
www.myschoolgist.com,
brewing and gambling- their failure was inevitable. They could not keep us insulated. By the time we move,
"about, we were already seeing things with eyes and judging things by the standards we had absorbed from",
them.,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

It was borne in on me and my brothers at a very early age that our father was an uncommon man. for one,
"thing, in most African families, work around the home was women’s work. So we were vastly impressed by",
"the fact that whenever my mother was away, my father could and did do all her jobs-cooking, cleaning and",
looking after us. We lived in this way in a community in which housework was regarded as being beneath,
"male dignity. Even in families which, like ours, produced boy after boy-our sister came fifth-it simply meant",
"that the mother carried a greater and greater burden of work. In our family, nevertheless; the boys did girls",
‘work and my father did it with us.,
"One of the prime chores of life in the family was fetching water from the pump down the street, some two",
hundred metres from our door. Since the pump was not unlocked until six in the morning and there was,
"always crowding, a system had developed whereby you got out before dawn, placed your twenty-litre tin in",
"line, and then went home, returning latter to take your place. Often, of course, tins would be moved back in",
"line, and others moved ahead. This could be corrected if none of these in front were too big a challenge.",
"When taps were substituted for the pumps, the first one installed was nearly a kilometre away from our",
house and we had to make the trek with the water tins balanced on our heads – an indignity because this was,
"the way girls, not proud males, carried their derisive laughter. We did our jobs doggedly, that",
"notwithstanding, because our father and mother expected it of us. Out of choice, our father did everything we",
"did, including fetching water on occasion, and commanded us by sheer force of his example.",
1. Which of the following describes the father's role in the family?,
A. being too hard on the children,
B. serving the children,
C. leading by example,
D. usurping his wife's role in the family,
"2. By describing his father as an uncommon man, the writer means that he is",
A. strick,
B. kind,
C. amenable,
D. remarkable,
3. A suitable title for the passage is,
A. The Unusual Parent,
B. A Village Life,
C. An Experience in Early Life,
D. The Problem of Water,
www.myschoolgist.com,
"4. The word atmosphere, as used in the first paragraph of the passage, means",
A. pattern,
B. perference,
C. unity,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. disposition,
5. When of the following statements captures the family's approach to housework?,
A. the boys were not allowed to do girls work,
B. their mother did the cooking and cleaning willingly,
C. no job was reserved for anyone on the basis of gender,
D. the water needed was provided by everyone,
PASSAGE II,
"A wolf, seeing a lamb drinking from a river, wanted to find a pretext, for devouring him. He stood higher up",
the stream and accused the lamb of muddying the water so that he could not drink. The lamb said that he,
"drank only with the tip of his tongue, and that in any case he was standing lower down the river, and could",
"not possibly disturb the water higher up, ‘when this excuse failed him, the wolf said: ‘Well, last year you",
"insulted my father .’I wasn’t even born then, ‘replied the lamb.",
,"You are good at finding answers, ‘said the wolf, ‘but what do you mean by taking up so much of the path"
"where I am walking? The lamb, frightened at the wolf’s angry tone and terrible aspect, told him, with all due",
"submission, that he could not conceive how his walking on such a wide path could occasion him any",
"inconvenience. ‘What! Exclaimed the wolf, seemingly in great anger and indignation. ‘You are as impudent as",
"your father who seized me by the throat last year, and caused me to be kept in a cage for three months.",
,"If you will believe me, ‘said the lamb, my parents are poor simple creatures who live entirely by green stuff;"
"we are none of us hunters of your species. ‘Ah! I see it’s no use talking to you, ‘said the wolf, drawing up close",
"to him. ‘it runs in the blood of your family to hate us wolves, and therefore, as we have come so conveniently",
"together, I’ll just pay off a few of your forefathers scores before we part. ‘so, saying he leapt at the lamb from",
behind and garroted him.,
6. The expression when excuse failed him suggests that the,
A. wolf only made up the charges levelled against the lamb,
B. lamb was more intelligent than the wolf,
C. lamb was prepared for the charges levelled against him,
D. wolf was uncertain of the charges levelled against the lamb,
7. The expression angry tone and terrible aspect refers to the wolf's,
A. sonorous voice and overbearing attitude,
B. towering size and thunderous voice,
C. harsh voice and menacing posture,
D. loud voice and fretting movement,www.myschoolgist.com
8. Which of the following aptly describes the moral of the story?,
A. the sins of the forefathers are visited upon the children no matter how long it takes,
"B. if you have made up your mind to hang your dog, any rope will do for the purpose",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. the law is week in defence of the poor against the rich and mighty.,
D. no matter how highly placed he is in society; the unmindful lawbreaker will always meet his nemesis.,
"9. From the way the story ended, it can be concluded that the",
A. lamb did not survive the encounter,
B. wolf and the lamb parted amicably,
C. wolf had encountered the lamb's parents,
D. lamb offended the wolf quite seriously,
10. The charges levelled against the lamb are,
"A. greed, wandering, insolence and disrespect",
"B. exuberance, pollution, wickedness and stubbornness",
"C. garrulity, loquacity, pride and arrogance",
"D. pollulation, insolence, obstruction and aggression",
PASSAGE III,
"The passage below has gaps numbered 11 to 20. Immediately following each gap, four options are provided.",
Choose the most appropriate option for each gap.,
Capitalism is an economic system which is founded on the principle of free enterprise and the private,
ownership of the means of production and distribution. The - 11 – [A. protagonists B. antagonists C.,
determiners D. attorneys] of capitalism claim that its essential characteristic is economic - 12- [A.,
exploitation B. manipulation C. maneuvering D. freedom]. The producer is free to produce whatever goods,
he – 13 - [A. sells B. buys C. fancies D. manufactures]. but the - 14 – [ A. customer B. consumer C. controller,
"D. marketer]. is equally free to buy what he wants. There is a market mechanism under this system, which",
brings the producer and consumer together and tends to equate the supplies of the one to the demands of,
"the other, and -15 – [A. neutralize B. harmonize C. settle D. decide] the whims and caprice of both. It is this",
same - 16 – [A. market B. controlling C. operational D. production] mechanism which determines what prices,
"the consumers pay to the producers, as what share of the total - 17- [ A. dividends B. interest C. output D.",
"profit], in cash or kind, goes to each of the four recognized -18 – [ A. managers B. agents C. methods D.",
"factors] of production – land, labour capital and organization. It is further claimed for this system that every",
"person is capable of watching his or her own interest, and that whatever injustice is done by the - 19 – [A.",
"pricing B. operations C. managers D. buyers and sellers] of the market mechanism, this mechanism tends to",
bring about a state of - 20 – [ A. conflict B. equidistance C. equilibrium D. opprobrium] between the,
producers and the consumers.,
PASSAGE IV,
,"If once in a lifetime, you see a blue moon, don’t think your eyes are playing tricks on you. It is caused by dust"
in our upper atmosphere; ice crystals are what make you see rings around the moon. .,www.myschoolgist.com
,"Over the centuries, magical powers have been attributed to the moon. it has been said to bring on lunacy,"
"affect the growth of plants, eyes of cats, spots of panthers, functions of women and activities of ghosts France",
"once had a law against cutting timber except during a waning moon. The moon and to a lesser degree the sun,",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

does cause the ocean tides because of their gravitational pull. But a common mistake of primitive people is to,
think that everything timed in the same rhythm as the moon is caused by it.,
,"All the moon gazing, probing and measuring has never solved the big problem it’s origin One theory is that it"
"began as a planet, got too near the more massive earth, was captured ‘and turned into a satellite. Another is",
"that the moon is the result of a giant tidal bulge forming on our earth’s surface, separating, then spinning off",
"into space. If the latter theory is true, scientists say, there would be two clues; the moon would consist of",
"lighter material than the earth, and the earth would be left with a scar. As a matter of fact, the moon does",
weigh less. And the Pacific Ocean does have a scar like bottom of basaltic rocks instead of the granite rocks,
instead of the granite rocks usually found near the earth’s surface.,
,"But the assumption that, if man can get to the moon, he’ll find the answer is unfounded. Man has been on"
"the earth hundreds of thousands of yours without determining the earth’s origin. Scientist, of course, will",
never give up either quest.,
,"Indeed, ‘for thousands of years the moon has worked a spell of fascination over all the people on its near"
"neighbour, the earth. The ancient worshipped this lamp in the sky and speculated about it endlessly. Modern",
"astronomers continue to explore its mysteries almost every night of the year, and with reason.",
,"Age’s ego, before artificial light was known, it was known, it was important as illumination at night. As"
"everyone knows, the moon has no light of its own; it shines with the cold reflection of the distant sun, but",
"actually the moon is a poor mirror, reflecting only a fourteenth of the sunlight received. The earth reflects a",
third of its sunlight providing its satellite with ‘earth light ‘sixty times as bright as the best moonlight. That’s,
why we sometimes see the whole moon faintly when the sun is lighting up only a narrow crescent.,
"21. The phrase near neighbour, as used in the passage, shows that",
A. moonlight generally shares many characteristics with 'earth light',
B. moonlight shines brighter on the earth's surface than perhaps elsewhere,
C. the earth actually shares boundaries with the moon,
D. the earth is nearer to the moon than to the sun,
22. The passage suggests that a,
A. trick of the moon,
B. regular event,
C. rare phenomenon,
D. life-long opportunity,
"23. The sentence over the centuries, magical powers have been attributed to the moonsuggests that",www.myschoolgist.com
A. it is a common belief that the moon has magical powers,
B. people perform magic with the moon,
C. the moon actually possesses magical powers,
D. the moon reflects magical powers from the sun's rays,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

24. The expression ''either quest'' refers to the origin of,
A. neither the moon nor the earth,
B. the moon or the earth,
C. the moon,
D. the earth,
25. A suitable title for the passage is,
A. The Magical Powers of the Moon,
B. The Lunar Cycle,
C. Facts about the Moon,
D. Moon - Gazing,
Choose the option that best completes the gap(s).,
26. I shall find time for my ..... when I get ....... with this difficult assignment?,
A. past-time / over,
B. pass-time / over,
C. passtime / through,
D. pastime /through,
27. Agbo says he is not afraid of .......?,
A. anybody,
B. nothing,
C. nobody,
D. no one,
28. It is ...... responsibility to look after parents in old age?,
A. theirs',
B. their,
C. theirs,
D. their's,
29. One needs to exemplify or ....... the aspect of the subject being discussed?,
A. supply,
B. declare,
C. satisfy,
D. demonstrate,
www.myschoolgist.com,
"30. ....... his illness, Muhammad could not come to school?",
A. wtih reference to,
B. referring to,
C. owing to,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. due to,
"31. After so many trials, the experiment ....... ?",
A. paid up,
B. paid for,
C. paid out,
D. paid off,
32. People dislike Mariam because she is ......?,
A. trickful,
B. trickish,
C. tricky,
D. a tricker,
33. The reporter said that the Honorable speaker …… impeached,
A. is to be,
B. might have been,
C. may have been,
D. will have been,
"34. Actually, he forgot the one to ...... the job was given?",
A. whom,
B. who,
C. whomever,
D. whoever,
