Question,Option A,Option B,Option C,Option D
43. Bello said he would pitch his tent with  the,club.,A. He would support the  club.,B. He would build a pitch in the  club,C. He would build a tent on the  pitch.
"44. Try not to lose heart, said the  man.",A. Try not to be bold and  weak,B. Try not to become sad and  hopeless,C. Try not to be happy and  feeble,D. Try not to be timid and  hopeful.
40. Adayi cannot halt the march of  time.,A. she is willing to march  on,B. She c annot change the way things  happen.,C. She halts the march on  time.,D. She cannot alter the peace  march.
41. The lecture is Uye s road to  Damascus.,A. The lecture is an opportunity to travel  to,Damascus.,B. The lecture is an experience that changes,the way she  thinks
42. Ado is one of the  backwoodsmen.  45. Kasim would have attended the party if  he,had been  invited.,A. He would not have attended even if he  eat,B. He attended the party before he was  invited.,"C. He was not invited and so, he did not  attend"
46. Adewale's arrival always triggers a  media,frenzy A. Violence. B. Agitation C. Calm D.,Excitement.,,
"47. She said, the experience was harrowing . A.",Educating B. Frightening C. Pleasant D.,Strange,,
48. The house was invaded by the young,officers A. Set up B. Put down C. Defended D.,built.,,
49. I like Adamu weird attitude. A.Buoyant B.,Peculiar C. Zestful D. normal. D.  inglorious,,,
50. We travelled to an obscure little town A.,rugged B. Distinguished C. Secluded D.,inglorious,,
51. She is known for her bizarre dressing. A.,Natur al B. Weird C. Obsolete D.  Odious,,,
52. Lami normally scurries around town A.,Scampers B. Dashes C. Dawdles D.  Scuttles,,,
53. Sule’s poem is always explicit and,compelling A. Exciting B. Clear C. Ambigous,D.Long.,,
54. Usman smiled in a scornful way A.,Respectful B. Derisive C. Sacarstic D.  Deluded.,,,
55. Alade is noted for his erratic behaviour. A.,Fitful B. Bizarre C. Consistent D.  Euphoric,,,
56. The priest knows Ochai as an abstainer A.,Someone who never drinks alcohol B. Someone,who holds onto his ideas C. Someone  who reads a lot D. Someone who never cares about,others,"From these questions, choose the option"
57. She gave a caustic remark on the  occasion,A. tangible B. Friendly C. insignificant D.,Sarcastic.,,
58. It was a good try but it didn't quite work,out. A. Come to B. come off C. come from D.,come for,,
59. Garuba’s performances in the  competition,was horrid . A. terrible B. encouraging C.,Commendable D.  rigid.,60 Just me the basic facts with needless details,A. relevant B. extraneous C. essential D.
61. Usman likes toys made with bright  and,animated colours. A. dull B. sparkling C. black,D. deep,,
62. The man has strong distaste for alcohol. A.,love B. aversion C. desire D.  excitement.  63. The schism in the' organization is on the,increase. A. disagreement B. understanding C.,opportunity D.  rot,
64. Sule admires people who have unbending,character A. mobile B. steady C. wavering D.,unstable,,
65. He detests honesty A. likes B. hates C.,encourages D.  commands.,"From questions 66 to 85, choose the",option that best completes the gap(s)  have rushes into it C. would not have rushes,into it D. would not have rushed into it.
71.,,,,
72. The company deals ... computer software,A. with B. for  C. in D.  to.,73 There is no logic --- any of their claims. A.,with B. in C. from D. up,74the house was an easy task for the
66. The number of stores will be increased ...,twenty to thirty. A. from B. on C. at D. into  75. The player sat on the bench ... the match,lasted. A. since B. when C. that D. while,67 ..... bomb had earlier been defused A. A  leaf,B. An alive C. A life D. A  live
68. The mechanic did not tell me the brakes  ...,bad A. were B. are C. is D. was.,,,
69. Tayo could have supplied the goods but it,was  ---- into two A. splitting B. split C.  splited,D. splits.,,
70. Had Aisha realized what marriage  entails,she -- A. could have not rush into it B.  would  76. He ran out when he saw the teacher ...? A.,didn't he B. isn't he C. does he D. is  he.,,
77. Parents should be good examples ...  their,children. A. to B. at C. from D.  by.,,,
78. He travelled ... last week A. somewhat B.,somewhere C. some at D.  somewhere,,,
79. He was present at  the party .... ? A. wasn't,he B. did he C. could he D. didn't he.  80. The prisoners had been ... from all  contacts,A. kept upon B. kept apart C. kept for D. kept,on.,
81. We detest these... declared the woman A.,types of programme B. type of programmes C.,types of programmes D. type of  programme.,,
82. lima doesn't like working in the dark ...?  A.,has she B. does she C. will she D. did  she.,,,
83. Oboro will always ... his friends. A. stand,up for B. stand down for C. stand across for D.,stand besides  for.,,
84. She arrived ... air for the occasion. A. for B.,in C. with D.  by,,,
85. Audu overbalanced and ... the water. A. fell,into B. fell from C. fell for D. fell  at.,"For this question, choose the option that",has the same vowel sound as the one,represented by the letter(s) underlined.
86. Bore A. call B. curl C. slot D.  hum,,,,
87. Head A. said B. heard C. herd D.  shirt.,,,,
88. Sky A. cite B. eats C. breaks D.  coil.,,,,
89. Loath A. breathe B. that C. thaw D.  tank. 90. Van A. of B. often C. off D.  physics.,,,,
91. Lodge A. soldier B. rogue C. go D.,measure.,"For this question, choose the option that",rhymes with the given word.,
92. Suite A. tree B. breath C. bleat D.  sweet.,,,,
93. Cart A. lash B. cat C. part D.  pack.,,,,
94. Sight A. skate B. short C. cite D.  plait,"For this question, choose the choose the",appropriate stress pattern from the,options. the stress syllables are written in,capital letter(s)
95. Programmatic A. proGRAMmatic B.,PROgrammatic C.  programMATIC,D. programmatIC,,
96. Certification A. certiFIcation B.,CERtification C. certifiCAtion D.  cerTIfication.,,,
97. Motivation A. moTIvation B.  motivaTION,C. motiVAtion D. MOtivation.,"In the question, the words in capital letter",has the emphatic stress. Choose the,option to which the given sentence
98. Bukola’s UNCLE is a strict  teacher,A. Is Bukola’s uncles a strict  cook?,B. Is Tunde’s uncle a strict  teacher?,C. Is Bukola’s aunt a strict  teacher?  D. Is Bukola’s uncle an ea sy going  teacher?,
99. She puts spoon on the  CHAIR.,A. Did she put the fork on the  chair?,B. Did she put the spoon on the  chair?,C. Who put the spoon on the  chair?,D. Who took the spoon on the  chair?
100.  ASA is a  lawyer,A. Is Asa a  robber?,B. Who is a  lawyer?,C. Is Asa the  lawyer?,D. Was Asa the  lawyer?  ANSWER KEYS
1. D,,,,
2. D,,,,
3. A,,,,
4. D,,,,
5. C,,,,
6. B,,,,
7. A,,,,
8. B,,,,
9. C,,,,
10. A,,,,
11. A,,,,
12. C,,,,
13. A,,,,
14. A,,,,
15. A,,,,
16. B,,,,
17. C,,,,
18. B,,,,
19. A,,,,
20. D,,,,
21. D,,,,
22. A,,,,
23. B,,,,
24. A,,,,
25. A,,,,
26. B,,,,
27. A,,,,
28. B,,,,
29. D,,,,
30. B,,,,
31. A,,,,
32. D,,,,
33. A,,,,
34. B,,,,
35. D,,,,
36. B,,,,
37. A,,,,
38. B,,,,
39. A,,,,
40. B,,,,
41. B,,,,
42. A,,,,
43. A,,,,
44. B,,,,
45. C 46. C 91. A,,,,
47. C 92. D,,,,
48. C 93. C,,,,
49. D 94. C,,,,
50. B 95. C,,,,
51. A 96. C,,,,
52. C 97. C,,,,
53. C 98. C,,,,
54. A 99. B,,,,
55. C 100. B,,,,
56. A,,,,
57. D,,,,
58. B,,,,
59. A,,,,
60. C,,,,
61. B,,,,
62. B,,,,
63. A,,,,
64. B,,,,
65. B,,,,
66. A,,,,
67. D,,,,
68. A,,,,
69. C,,,,
70. D,,,,
71. NO ANSWER,,,,
72. C,,,,
73. B,,,,
74. B,,,,
75. D,,,,
76. A,,,,
77. A,,,,
78. A,,,,
79. A,,,,
80. B,,,,
81. A,,,,
82. B,,,,
83. A,,,,
84. D,,,,
85. A,,,,
86. C,,,,
87. A,,,,
88. A,,,,
89. C,,,,
90. A,UTME 2016 USE OF ENGLISH QUESTIONS,PASSAGE I,COMPREHENSION: Read the passage,carefully and answer the question that
1. The view expressed by the writer in the last,paragraph is that (a) the number of  alcoholics  and smoker is certainly increasing (b) more,people appear to take to drinking and smoking,(c) sales of alcohol and tobacco products h ave,improved tremendously (d) more people now
2. It can be concluded from the passage that,"morality, religion and economy are (a)",somewhat interconnected (b) clearly,interconnected (c) certainly different (d),certainly  unrelated
"3. According to the passage, the moralist idea",is that (a) the smoking of cigarettes is bad and,unacceptable (b)it is typically African not to,smoke cigarettes (c) people sh6uld accept a,point of view only when they are convinced (d)
4. Which of the following statements is true,according to the passage? (a) total abstinence,from drinking and smoking is a religious,obligation (b)smoking and drinking may have,positive effects on the econo my (c) every one
5. The positions maintained by the moralist,and the economist can be described as  being,(a) quite indifferent (b) very agreeable (c) very,passionate (d) at variance,PASSAGE ll
6. The sentence There will be twice as many of,us before most of us are dead means (a) some,increase in human and animal population,growth rates (b) mankind is fast spreading,across the earth (c) the population growth rate
7. Which of the following statements is true,according to the passage? (a) man kills animal,only when he ca n afford to do so. (b) man eats,all categories of animals (c) man cannot spare,those animals that eat his kind (d) man poses
8. The basic causes of the elimination of  certain,animals from the earth include (a) a deliberate,battle  against nature and the quest for leopard,skin (b) man's decision to live in cities and the,development of large farm lands (c) man's
9. The expression when man evolved a,conscience means when (a) man's intellect,improved tremendously (b) man became a,critical  creature (c) man developed an,awareness of right and wrong (d) man  acquired
"21. According to the Novel, Efua was in",Forcados High School because (a) her,stepfather was a board member (b) of her,former principal's recommendation (c) the,school ne eded her mother's support (d) of  aunt
"22. According to the Novel, who intimated Efua",that there was a clash between area boys? (a),Miss Novi (b) Mr Salami (c) Mr Edet (d) Mr,Mallum,
23. The speculation amongst the students of,Forcados High School gas that Jimi was  dating,(a) Joke (b) Caro (c) Risikat (d) Efua,,
24. The best thing that happened to Efua at the,end of the term was (a) the visit of Nene's,family (b) her participation in the Christmas,concert (c) her exclusion from Miss Novi's,charity group (d) the principal's open
"26. Mr Mallum, the principal, was a symbol  of",(a) freedom (b) envy (c) condemnation (d),achievement,,
27. Ansa decided not to like Efua because  he,(a) learnt she was controversial (b) thought,she was fetish (c) Felt she was snobb ish (d),thought she was wayward,
"28. In the novel, Ansa loo around glumly when",Jimi was engrossed in laughter and chatter,because he was (a) distracted by a b playing,on the field (b) neglected by Jimi (c) given,twelve strokes of the cane by the principal (d)
29. Which of the following statements captures,Ansa's thought about Jimi? (a) He thought Jimi,was a lucky boy (b) He was going to break his,friendship with Jimi (c) He thought Jimi cut,corners to succeed (d) He was envious of  Jimi's
30. Jimi was still trembling when he got home,from the bar because (a) he ran into a team of,policemen (b) Wole's friend wanted to beat  him,(c) he saw an accident on the way (d) he was,carrying illicit drugs
31. After listening to Jimi's expla nation on the,"stolen laboratory equipments, Mr Mallum",decided to (a) get in touch with Jimi's  relations,(b) punish Jimi for the wrong doings (c) put an,end to the matter (d) contact the police for
32. Which of the following best describes Mr,"Mallum? (a) He was a small, wiry man with  odd","accent (b) He was a tall, wiry man with good","diction (c) He was crude, rash and  impatient","(d) He was a fat, tall man with wimpish"
33. How did Nene feel when she saw Efua's,painting by Ansa? (a) She became friendly (b),She acted timidly (c) She was delighted (d),She was  surprised.,
34. One of the things Ansa observed about his,fellow students when they resumed for the new,term was that some of them (a) wore their ties,in odd knots (b) were ea ger to go back  home,(c) looked sickly and malnourished (d) had
35. Efua was not in the good book of teachers,at Forcados High School because (a) her,admission into the senior class was unusual (b),she was expelled from her previous schoo l (c),the students of the school did not like her (d)
36. Ramatu expressed her feelings in no,uncertain terms (a) she expressed it feebly and,sickly (b) she expresses it quietly and,cautiously (c) she expressed it secretly and,courageously (d) she expressed it clearly and
37. Usman needs to get his act t ogether if he,wants to pass the examination (a) he needs to,put on his stage costume (b) he needs to be,fast when writing the examination (c) he needs,to organise himself (d) he needs to put all
"38. As the drama unfolded, Olatinu ke was",advised to keep her shirt on (a) she was,advised to stay calm (b) she was advised to,commit herself (c) she was advised to join the,club (d) she was advised to wear her  shirt
39. The team's poor performance at the,tournament plumbed the depths of  horror .,(a) the team's performance was rewarded (b),the team's performance took them to the next,round (c) the team's performance was enjoyed
40. He is a clinging child (a) He is a bully  (b),He likes to cl ing with his sister (c) He is,possessive (d) He is a handsome young  man 41. You need to brush up on your Spanish (a),you need a brush from Spain (b) you need to,study the history of Spain (c) you need to learn
42. Tolu and Chinedu live in each other's,pockets (a) They are long -term business,partners (b) They are very close to each  other,(c) They blackmail each other (d) They steal,from each other
43. Zinana'a examination result was not,unfavourable (a) She failed her  examination,(b) Her result could not earn her admission (c),She was successful in the examination,
44. can't wait to become a mother. 'the new,bride declared (a) she sees motherhood as a,burden (b) she will be patient as a mother (c),She is not k een on becoming a mother (d) she,is excited about  motherhood.
45. Amaka would pass for beauty queen (a),she was acting as a beauty queen (b) she,would pass the drink to the queen who is,sitting next to her (c) she would be accepted,by all as a beauty queen (d) she walked past
47. The dressmaker unpicked the seam of,the shirt (a) tore up (b) sewed up (c)  threaded,(d) picked up,,
48. Some of my neighbours have an,antipathy to dogs (a) enmity towards (b) alarm,for (c) acronym (d) affection  for,,
49. Chibuzor gave a curt nod and walked,away (a) rude (b) polite (c) gentle (d)  shocking,,,
50. The girl took a cursory glance at the,letter and hid it (a) brief (b) sententious (c),lasting (d)  concise,,
51. The accused was eventually convicted (a),initially (b) finally (c) subsequently (d),consequently,,
52. My niece has an unquenchable thirst for,adventure stories (a) an illegitimate (b) a,spurious (c) an inextinguishable (d) a  reduced,,
53. Musa is a gifted but erratic player (a),regular (b) strong (c) unstable (d),unpredictable,,
54. The testimony of the witness was  vague,(a) real (b) factual (c) true (d)  clear,,,
"55. As a student, Isa tried communal living",for a few years (a) shared (b) private (c),collective (d)  general,,
56. The lamb is a feeble little animal (a)  fat,"(b) weak (c) loving (d)  quite For these questions, choose the nearest in",meaning to the word or phrase in italics,,
57. The chairman admires  incessant,meetings (a) planned (b) unusual (c) irregular,(d) constant,,
58. The exhibition was an eye opener to  all,(a) dispatch (b) examination (c) style (d),display,,
59. The first round of the tournament was  a,doddle (a) exasperating (b) balanced (c) dodgy,(d) easy,,
"60. As a journalist, Bala has always had  a",nose for stories (a) a command (b) cynical,statement (c) soft comment (d) an  instinct,,
61. The actress screamed when she noticed,an object behind her (a) wailed (b)  protested,(c) waded in (d) stormed  out,,
62. Today's weather is favourable for a game,of tennis (a) impartial (b) abnormal (c),encouraging (d)  disapproving,,
63. All the candidates looked aghast at the,first reading of the questions (a) fulfiled (b),dismayed (c) satisfied (d)  again,,
64. I am tired of your eternal argument  (a),open (b) strong (c) constant (d)  useless,,,
65. Joke gave Muhammad a jaunty smile  (a),frightful (B) cheerful (c) discouraging (d),Inviting,"From questions 65 to 85, choose the","option that best completes the gap(s)  66. You live in the  city now,  ? (a) are  you"
67. Concrete is  made  of (a) sand and,cement (b) a sand and a cement (c) sand and,a cement (d) a sand and  cement,,
"68. Suana  that hexagons had five sides,",but later he knew they were six -sided figures.,(a) would have believed (b) had believed (c),believes (d) has believed,
69. The  to the fallen heroes was erected,at the market square (a) exhibition (b),monument (c) myth (d)  picture,,
70. The Flying Eagles of Nigeria couldn't have,won the match if they hadn't  prepared,"well,  ? (a) can't they (b) couldn't they (c)",could they (d) can  they,
71. They all gathered to  exhume,the  musician's corpse for examination (a),posthumous (b) post -mortem (c) post -natal (d),orthopaedic,
72. I have been doing this exercise (a) for,five minutes (b) five minutes ago (c) since five,minutes (d) during five  minutes,,
"73. Oloyede  always sleeps like  a baby,  ?",(a) does he (b) could he (c) doesn't he (d) did,he,,
74. The man was given degree despite the,fact that he did not  attend  a  university (a),an honorary (b) an honourable (c) a,ceremonial (d) a  ceremonious  75. My father has  just bought  (a) a,peugeot brand new car (b) a car brand new
76. The university is a corporate body,made   different colleges (a) in with (b) of,with (c) up of (d) up  from,,
77. The secretary  hadn't   money left. (a),any (b) anything (c) none (d)  no,,,
78. The King  was recognised   the scar on,his face. (a) with (b) to (c) by (d)  for,,,
"79. Nkiru has lots of friends, but I  have",(a) only a little (b) little (c) only a few (d)  few,,,
80. The HOD says she considers her degree,certificate   than as a prize through  labour,(a) rather as a gift of God (b) rather God as a,gift (c) as a gift rather of God (d) as a rather,gift of God
81. Mr Ojo instructed his son to replace the,faulty  tube (a) flurescent (b) flourescent (c),fluorescent (d)  florescent,,
"82. The employer, not  the",salesmen   responsible for the loss (a) have,been (b) was (c) were (d) will  be,,
83. She was  as anyone could have had (a),as patient  as teacher (b) as a patient a  teacher,(c) as patient teacher (d) a patient a  teacher,,
84. There was  a serious   between the new,couple over feeding allowance (a)  arguement,(b) argeument (c) arguement (d)  argument  85. They thought  Musa  agree if they,altered some of the conditions (a) can (b)  may,(c) might (d)  ought
86. Waiter (a) Flavour (b) cite (c) road (d)  hair,,,,
87. Flee (a) field (b) skate (c) faith (d)  rid,,,,
88. Palm (a) florid (b) ranch (c) blunt (d)  lunch,,,,
89. Phantom (a) physics (b) pew (c) phew (d),party,,,
90. Chest (a) fixture (b) school (c)  charisma,(d) mass,,,
91. Epitaph (a) pneumonia (b) fan (c)  paper,(d) pseudo,"For these questions, choose the option",that rhymes with the given word,
92. Ever (a) never (b) heavier (c) fever (d),favour,,,
93. Cable (a) bible (b) mabel (c) able (d),marble,,,
"94. Mail (a) bale (b) slate (c) girl (d)  galle For these questions, choose the",appropriate stress pattern from the,"options, the stress syllables are written in",capital letter(s),
95. Advantages (a) advantaGES (b),adVANtages (c) ADvantages (d)  advanTAges,,,
96. Intentional (a) inTENtional (b)  INtentional,(c) intentionAL (d) intentioNAL,"For this question, choose the option that is",stressed on the first syllable,
97. (a) guitar (b) guilty (c) confuse (d)  relief,"In the question, the words in capital letter",has the emphatic stress. Choose the,option to which the given sentence,relates.
98. I left my bag on the  TABLE,(a) Is the bag left under the  table?,(b) Did I leave the shoe on the  table?,(c) Who left the bag on the  table?,(d) Where did I leave the  bag?
99. Kanu can play  FOOTBALL,(a) Who can play  football?,(b) What can Kanu  play?,(c) What can Kanu do with  football?  (d) Why should Kanu play  football?,
100.  Aisha plays TENNIS  always,(a) Who plays tennis  always?,(b) Does Aisha watch tennis  always?,(c) What does Aisha play  always?,(d) When does Aisha play  tennis?  ANSWER KEYS
1. B,,,,
2. A,,,,
3. A,,,,
4. B,,,,
5. D,,,,
6. C,,,,
7. D,,,,
8. D,,,,
9. C,,,,
10. D,,,,
11. C,,,,
12. A,,,,
13. D,,,,
14. A,,,,
15. A,,,,
16. D,,,,
17. A,,,,
18. C,,,,
19. D,,,,
20. B,,,,
21. B,,,,
22. A,,,,
23. B,,,,
24. D,,,,
25. B,,,,
26. C,,,,
27. C,,,,
28. A,,,,
29. A,,,,
30. A,,,,
31. B,,,,
32. A,,,,
33. D,,,,
34. D,,,,
35. A,,,,
36. D,,,,
37. C,,,,
38. A,,,,
39. D,,,,
40. C,,,,
41. D,,,,
42. B,,,,
43. C,,,,
44. D,,,,
45. C,,,,
46. D,,,,
47. B,,,,
48. D,,,,
49. B,,,,
50. C,,,,
51. A,,,,
52. D,,,,
53. A,,,,
54. D,,,,
55. B,,,,
56. B,,,,
57. D,,,,
58. D,,,,
59. D,,,,
60. D,,,,
61. A,,,,
62. C,,,,
63. B,,,,
64. C,,,,
65. D,,,,
66. B,,,,
67. A,,,,
68. B,,,,
69. B,,,,
70. C,,,,
71. B,,,,
72. A,,,,
73. C,,,,
74. A,,,,
75. d,,,,
76. C,,,,
77. A,,,,
78. C,,,,
79. B,,,,
80. B,,,,
81. C,,,,
82. B,,,,
83. B,,,,
84. D,,,,
85. C,,,,
86. A,,,,
87. A,,,,
88. B,,,,
89. A,,,,
90. A,,,,
91. B,,,,
92. A,,,,
93. C,,,,
94. A,,,,
95. B,,,,
96. A,,,,
97. A,,,,
98. D,,,,
99. B,,,,
100.  c,PASSAGE I  UTME 2017 USE OF ENGLISH QUESTIONS,(a) weaken through gender  sensitivity,(b) diminish through women  emancipation,(c) dwindle with the advancement of  civilization
1. Advantages usually enjoyed by men,began  to (d) fade with wide  self-realization,,,
"2. According to the passage, what two masters",are women strugglin g to serve?,(a) The health and education of their  children,(b) The husband and the  children,(C) The office and the husband
"3. According to the passage, ancient societies",were secured  because,(a) men were assigned superior  roles,(b) the tasks of women and men were  outlined,(c) women accepted inferior roles interpreted
"4. From the passage, it can be inferred  that",women emancipation results  in,(a) women becoming covertly  ambitious,(b) resentment of men by gain  women,(c) crises at  tome
"5. The phrase suffer tremendously, as used  in","the passage,  means",(a) greatly  disadvantaged,(b) to become  worse,(c) badly  unpleased
16. This question is based al S.I Manyika's IN,DEPENDENCE The college food was described,as dreadful  by,(a) Jane,(b) Charlie
"17. According to novel, Vanessa fell sick  after",the party at Charlie's place  because,(a) she drank too much and skipped  meals,(b) of the continuous ringing of Oxford  bells,(c) her room was not warm  enough
"18. In the novel, it was that Vanessa's father",was in  the,(a) Northern  Protectorate,(b) colonial  service,(c) house of  commons
"19. From the novel, the Nigerian film shown",created mixed reactions  in,(a) Simon,(b) Ike (c) Francis,(d) Margery
"20. The mention of Negritude, in the novel,  is",an example  of,(a) African contribution to  democracy,(b) African tribal  custom,(c) African contribution to western  civilization
21. Who among the following emphasized  the,importance of cross -cultural  breedin g?,(a) Sengbor.,(b) Cesaire,(c) Charlie
22. Mr. Richardson's daughter bothered  about,Lumumba and the wanted to go  to---,(a) Gabon,(b) Congo,(c) Togo
23. The first time Tayo met Vanessa was  at,(a) the film  presentation,(b) hail for  tutorials,(c) the Charlie's  place,(d) the Oxford  University
24. The article published in Students' paper,criticized women  for,(a) playing music  always,(b) overdressing,(c) distracting the  men
"25. In the novel, Francis pointed out to Ike  that",Nigerians,(a) were inexperienced in Western  democracy,(b) had taken control of their own  affairs,(c) should know their history  better
26. The government didn't mind  my,mentioning his  name,(a) He was not angry when I mentioned his,name,(b) He was angry when I mentioned his  name
27. The leader said he was not unaware of the,plight of the  people,(a) He knew of their plight,(b) He was not informed of their  plight,(c) He could not understand their  plight
"28. But for the expense, I'd buy bigger  car",(a) I want to buy a bigger car because it  is,more expensive,(b) I will not buy bigger car because it is  too,expensive
29. No sooner had he got into the pool than  the,telephone  rang,(a) He didn't get into the pool because  the,telephone  rang,(b) The telephone rang just a fter he got into
30. My father said I might just as well stay  at,home for another  year,(a) I should stay at home because I had no,other  choice,(b) I might stay at home and do  well
32. The minister averred his commitment (a),denied (b) pledged (C) undertook (d)  accented,,,
33. The company was on the brink of a,financial abyss. (a) difficult (b) scandal  (c),services (d)  stability,,
34. Nosa is indisposed (4) anxious (b)  fragile,(c) healthy (d) cautious,,,
35. A conscientious student should not  receive,a reward (a) An irresponsible (b) A  persistent,(c) busy (d) An active,,
36. The poem appealed to my sixth sense  (a),brain (b) mind (c) instinct (c)  intelligence,,,
37. Sophie anticipated the celebration of her,tenth birthday (a) suggested (b) hoped for  (c),imagined (d) waited  for,,
38. Mr. Bola is an irascible young man (a) a,weak (b) a crabbed (c) a hilarious (d) a  rude,,,
39. She became neurotic as a result of her,performance (a) balanced (b) disturbed (c),rational (d)  excited,,
40. Malam Aliyu lived in lack (a) surplus (b),penury (c) plenitude (d)  opulence,"For this question, choose the option that",best completes the gap(s).,
41. You have to how to make the whole week  a,memorable  one,(a) thick up (b) thick on (c) thick about (d),think at,
42. Last week I your friend in the salon (a),came into (b) came by (c) came across (d),came  over,,
"43. We might wait a little longer, but he would",not it ....... soon (a) turn out (b) turn up  (c) turn,in (d) turn over,,
"44. His are tied, so he could not do anything to",help her (a) shoulders (b) arms (c) hands (d),"legs 45. If you want to be part of the conference,",you have to ....... a form on me (a) fill up (b)  fill,out (c) fill on (d) fill  over
46. The flight .... has been postponed  (a),schedule (b) timetable (c) menu (d) manifest,,,
"47. My wife should not worry about this trial,  I",will always  ..... her (a) stand for (b) stand  by,(c) stand on (d) stand over,,
48. I can tell from the way he talks that he  his,mentor (a) takes after (b) takes up (c) takes,from (d) takes  back,,
49. We have time to -- before the gallery  opens,(a) Make (b) waste (c conserve (d) keep,,,
50. The time has now mime policy change  in,Nigeria (a) to (b) for (G) by (d)  at,"For this question, choose the option that has",the same vowel sound as the one rep resented,by the letter(s) underlined
51. tolerated (a) stale (b) kneel (c) met (d),mat,,,
52. gearbox (a) bare (b) feature(c) beer  (d),teacher,,,
53. confusion (a) measure (b) mission  (c),correction (d)  caution,,,
54. tertiary (a) shame (b) question (c)  catch,(d) chair,,,
55. poster (a) jotter (b) counter  (c)heater,(d)mortar,,,
56. cowed (a) low(b) flow (c) loud (d)cooed,,,,
57.distribution (a)distriBUtion (b)  DIStribution,(c) disTRIbution (d) distribution’,,,
58. irrevocable(a) irreVOcable(b)  irrecocable,(c) iRREvoble (d) irrevocable,,,
59. My house is ACROSS the  road,(a) is her house the  road?,(b) Is my room across the  road?,(c) Is my house on the  road?,(d) Is my house across the  street?  60. The shop closes AT  4pm
1. A,,,,
2. D,,,,
3. B,,,,
4. A,,,,
5. D,,,,
6. A,,,,
7. A,,,,
8. B,,,,
9. A,,,,
10. D,,,,
11. A,,,,
12. A,,,,
13. C,,,,
14. B,,,,
15. D,,,,
16. D,,,,
17. D,,,,
18. B,,,,
19. B,,,,
20. C,,,,
21. A,,,,
22. D,,,,
23. A,,,,
24. D,,,,
25. D,,,,
26. A,,,,
27. D,,,,
28. B,,,,
29. B,,,,
30. D,,,,
31. B,,,,
32. A,,,,
33. D,,,,
34. C,,,,
35. A,,,,
36. A,,,,
37. C,,,,
38. D,,,,
39. B,,,,
40. B,,,,
41. B,,,,
42. C,,,,
43. B,,,,
44. C,,,,
45. A,,,,
46. A,,,,
47. B,,,,
48. A,,,,
49. C,,,,
50. B,,,,
51. A,,,,
52. C 53. A,,,,
54. A,,,,
55. D,,,,
56. C,,,,
57. A,,,,
58. A,,,,
59. C,,,,
60. A,PASSAGE A  UTME 2018 USE OF ENGLISH QUESTIONS,,,
1. What point of view is the Geography  master,fond of  advancing?,A. Africans are infested with all kinds  of,problem,Read the following passage and answer
2. Which of the following arguments did he not,use to support his  vies?,"A. In Africa, the mosquito causes deadly","malaria whereas in Britain, it doesn't bite  or",caw e  malaria
"3. ""...rock the boat"" What figure of speech  is",this expression?,A. Simile,B. Metaphor,C. Personification
4. What extra argument (lid the new boy offer,after countering each of vie master's points?  A.,There are problems especially in  Africa,B. There are deadly snakes be the in  America,and Africa
5. Why do you think the master fought back,with his look rather than with further,argument?,A. He knew that the boy's points were  valid,B. He had answers to the boy's  argument
"6. ""...who had n o answer to this new battle"".",What grammatical name is given to the  above,passage expression as it is used in the,passage?,A. (non-defining) relative  clause
7... [A. germ B. bacterial C. dirty D. mosquito],"diseases such as measles, but tuberculos is,",diarrhoea and many others including ... 8... [A.,catarrh B. runny -nose C. headache D.,influenza] known also as the ... 9... cold [A.
"23. When asked to state her side of the story,",Bunmi started by beating about the bush. This,means that  Bunmi,A. went straight to the  point,B. was lost in great  thought
24. The amount he donated was small. He  said,it was his widow's mite. This means  that,A. he was a  widow,B. he was  misery.,C. it was all he could honestly  afford
25. The friendship between Segun and  Shehu,has turned sour. This means that Segun and,Shehu  are,A. no longer friends B. stilt friends C. better,friends now D. getting to understand each
26. The driver smelled z: rat when the,policemen asked him to stop. ] Ills means that,the driver was A. reckless B. auspicious C.,careful D.  offensive.,
27. The students were as Wised to face their,studies and let the sleeping dog lie. This means,that the students shout ( A. obey the,authorities B. organise them properly C. leave,matters as they are now D. be as watchful as
"28. From the way Ngozi behaves, it is  obvious","she is a greenhorn. ""This means that Ngozi  is",A. arrogant,B. cautious,C. inexperienced
"30. Since I found out his hypocritical nature,  I",have been keeping him at arm's length. This,mean: that  I,A. avoid being similar with  him,B. ignore his  advice
31. I knew Okoronkwo's father very well and I,must say that his son is a chip off the old,block. Thy means that  Okoronkwo,A. has Chosen the game career as its  father,B. is very much like his  father
32. The debating team was warned to make,convincing points and not to play to the  gallery.,This means that the team should  not,A. be selfish,B. underrate  opponents
33. Anyone who thinks that he can succeed  in,life without working hard is living in a fool's,paradise. This means is that such a  person,A. is having an  illusion,B. thinks other people are  fools
34. I am happy to inform you that your  boys,are conscientious,A. industrious  B. carefree,C. careful,D. corrupt
35. My father is a very prosperous,businessman.,A. ungrateful,B. unscrupulous,C. unskilled
37. Ayo takes his studies rather  lightly,A. humorously,B. tediously,C. carefully,D. seriously
38. The doctor was very gentle with  his,patients in the examining  room,A. harsh,B. rude,C. rough
39. The President took exception to the  ignoble,role the young man played in the  matter,A. honourable,B. embarrassing,C dishonourable
40. The man who had been seriously ill  was,convalescing at a seaside  resort,A. regaining  health,B. deteriorating in  health,C. recuperating
